Num,Acc_X,Acc_Y,Acc_Z
0,341,1173,-423
1,395,1084,-287
2,395,1084,-287
3,395,953,-231
4,416,953,-231
5,416,953,-231
6,363,860,-444
7,363,860,-444
8,333,905,-643
9,333,905,-643
10,291,927,-676
11,291,927,-676
12,291,927,-473
13,299,857,-469
14,299,857,-469
15,299,888,-482
16,299,888,-482
17,203,974,-520
18,203,974,-520
19,203,974,-587
20,64,1142,-587
21,64,1142,-587
22,-21,1305,-658
23,-21,1305,-658
24,-60,1437,-681
25,-60,1437,-681
26,-187,1520,-781
27,-187,1520,-781
28,-187,1520,-1078
29,-343,1725,-1063
30,-343,1725,-1063
31,-585,1980,-1351
32,-585,1980,-1351
33,-877,1998,-1326
34,-877,1998,-1326
35,-877,1998,-991
36,-1054,1998,-991
37,-1054,1998,-991
38,-1153,1998,-947
39,-1153,1998,-947
40,-1207,1998,-1082
41,-1207,1998,-1082
42,-1270,1998,-803
43,-1275,1998,-803
44,-1275,1998,-803
45,-1491,1986,-51
46,-1491,1986,-51
47,-1694,1405,668
48,-1694,1405,668
49,-1985,303,878
50,-1985,303,878
51,-1985,303,1191
52,-1999,-891,1194
53,-1999,-891,1194
54,-1999,-1929,1426
55,-1999,-1929,1426
56,-1999,-1999,988
57,-1999,-1999,988
58,-1765,-1999,181
59,-1762,-1999,181
60,-1762,-1999,181
61,-1129,-1999,-225
62,-1129,-1999,-225
63,-723,-1999,-368
64,-723,-1999,-368
65,-170,-1999,-331
66,-170,-1999,-331
67,-170,-1999,-97
68,81,-1890,-99
69,81,-1890,-99
70,268,-1738,130
71,268,-1738,130
72,302,-1860,96
73,302,-1860,96
74,302,-1813,-273
75,310,-1814,-273
76,310,-1814,-273
77,232,-1658,-579
78,232,-1658,-579
79,288,-1489,-387
