Num,Acc_X,Acc_Y,Acc_Z
0,-947,-201,1660
1,-943,-201,1660
2,-943,-201,1660
3,-986,-225,1983
4,-986,-225,1983
5,-987,-297,1999
6,-987,-297,1999
7,-1082,-189,1999
8,-1082,-189,1999
9,-1082,-189,1999
10,-1266,-100,1999
11,-1266,-100,1999
12,-1587,-118,1999
13,-1587,-118,1999
14,-1900,-165,1939
15,-1900,-165,1939
16,-1900,-259,1999
17,-1965,-252,1999
18,-1965,-252,1999
19,-1999,-242,1999
20,-1999,-242,1999
21,-1999,-302,1964
22,-1999,-302,1964
23,-1999,-525,1377
24,-1999,-525,1377
25,-1999,-525,1377
26,-1999,-520,596
27,-1999,-520,596
28,-1999,-429,-24
29,-1999,-429,-24
30,-1887,-306,-405
31,-1887,-306,-405
32,-1887,-166,-673
33,-1485,-170,-673
34,-1485,-170,-673
35,-991,-217,-982
36,-991,-217,-982
37,-500,-345,-1403
38,-500,-345,-1403
39,-172,-378,-1566
40,-173,-378,-1566
41,-173,-378,-1566
42,99,-433,-1452
43,99,-433,-1452
44,322,-325,-1207
45,322,-325,-1207
46,439,-153,-896
47,439,-153,-896
48,439,-153,-459
49,551,-26,-459
50,551,-26,-459
51,626,-24,-52
52,626,-24,-52
53,663,-24,303
54,663,-24,303
55,725,-47,593
56,725,-47,593
57,725,-47,593
58,780,-23,662
59,780,-23,662
60,836,21,643
61,836,21,643
62,865,20,617
63,865,20,617
64,865,20,601
65,876,29,602
66,876,29,602
67,875,10,597
68,875,10,597
69,840,33,597
70,840,33,597
71,840,48,582
72,835,47,582
73,835,47,582
74,795,61,585
75,795,61,585
76,781,65,585
77,781,65,585
78,779,46,589
79,779,46,589
