Num,Acc_X,Acc_Y,Acc_Z
0,-498,-292,861
1,-498,-292,861
2,-522,-292,845
3,-548,-318,873
4,-548,-318,873
5,-579,-245,874
6,-593,-190,858
7,-577,-206,864
8,-574,-206,864
9,-522,-230,796
10,-568,-194,773
11,-568,-194,773
12,-570,-167,808
13,-573,-178,826
14,-573,-178,817
15,-568,-211,817
16,-562,-269,820
17,-580,-276,860
18,-580,-276,860
19,-552,-284,838
20,-584,-248,803
21,-584,-248,803
22,-573,-231,817
23,-568,-242,865
24,-568,-242,928
25,-551,-241,928
26,-546,-228,953
27,-543,-212,1023
28,-543,-212,1023
29,-531,-131,1180
30,-524,-27,1531
31,-524,-27,1531
32,-511,28,1912
33,-505,-22,1999
34,-505,-243,1999
35,-553,-243,1999
36,-738,-319,1999
37,-905,-312,1999
38,-905,-312,1999
39,-1109,-336,1999
40,-1213,-359,1999
41,-1213,-359,1999
42,-1310,-456,1999
43,-1401,-579,1999
44,-1448,-383,1969
45,-1438,-383,1969
46,-1384,-288,1661
47,-1319,-267,1296
48,-1319,-267,1296
49,-1186,-315,959
50,-982,-275,544
51,-982,-275,341
52,-877,-180,337
53,-757,-115,156
54,-617,-80,38
55,-619,-80,38
56,-416,-63,2
57,-466,-47,-84
58,-466,-47,-84
59,-293,-382,-665
60,-84,-289,-737
61,-84,-289,-737
62,43,-81,-562
63,192,-99,-698
64,192,-224,-666
65,283,-226,-666
66,400,-410,-867
67,521,-333,-757
68,521,-333,-757
69,570,-185,-677
70,659,-179,-682
71,659,-179,-682
72,694,-212,-686
73,737,-200,-649
74,737,-200,-575
75,815,-69,-575
76,857,-95,-470
77,870,7,-461
78,870,7,-461
79,883,27,-514
80,908,54,-432
81,908,54,-432
82,914,4,-400
83,920,73,-402
84,920,89,-426
85,900,81,-426
86,910,77,-422
87,911,5,-437
88,911,5,-437
89,924,-23,-434
90,919,-73,-433
91,919,-73,-433
92,918,-35,-392
93,911,-8,-328
94,911,6,-301
95,949,9,-301
96,927,17,-338
97,907,18,-352
98,907,18,-352
99,918,-23,-342
