Num,Acc_X,Acc_Y,Acc_Z
0,410,484,-775
1,410,484,-775
2,429,477,-766
3,437,490,-760
4,437,474,-738
5,446,473,-738
6,444,437,-695
7,421,488,-706
8,421,488,-706
9,412,506,-708
10,429,482,-651
11,429,482,-651
12,436,452,-733
13,418,464,-761
14,418,484,-781
15,395,484,-781
16,374,516,-798
17,374,539,-783
18,374,539,-783
19,387,500,-775
20,408,463,-740
21,408,463,-740
22,411,493,-718
23,402,511,-714
24,370,528,-739
25,373,528,-739
26,338,568,-783
27,310,583,-793
28,310,583,-793
29,281,599,-805
30,241,638,-821
31,241,638,-821
32,120,698,-887
33,-111,888,-1037
34,-111,1186,-1304
35,-314,1186,-1304
36,-450,1422,-1611
37,-526,1418,-1731
38,-526,1418,-1731
39,-541,1294,-1711
40,-496,1154,-1623
41,-496,1154,-1623
42,-467,999,-1495
43,-390,830,-1271
44,-390,768,-1017
45,-317,772,-1017
46,-413,703,-876
47,-459,477,-532
48,-459,477,-532
49,-565,145,-152
50,-728,-76,10
51,-728,-76,10
52,-1105,-6,465
53,-1597,-117,640
54,-1597,-117,645
55,-1995,-705,645
56,-1999,-1311,1355
57,-1907,-1955,1518
58,-1907,-1955,1518
59,-1358,-1999,927
60,-378,-1999,1621
61,-378,-1999,1621
62,-86,-1869,1954
63,74,-1716,1809
64,74,-1950,1655
65,286,-1938,1655
66,146,-1577,954
67,-93,-1201,164
68,-93,-1201,164
69,-143,-983,29
70,-111,-859,282
71,-111,-859,282
72,-38,-941,459
73,-20,-1104,444
74,-4,-1166,405
75,-4,-1166,405
76,7,-1108,366
77,5,-1059,376
78,5,-1059,376
79,-5,-1093,410
80,30,-1149,465
81,30,-1149,465
82,48,-1184,463
83,49,-1126,450
84,40,-1041,423
85,40,-1041,423
86,20,-949,376
87,11,-872,334
88,11,-872,334
89,10,-853,301
90,21,-888,346
91,21,-888,377
92,59,-964,389
93,36,-962,340
94,20,-953,325
95,22,-953,325
96,28,-952,334
97,10,-898,345
98,10,-898,345
99,18,-924,376
